ID;Category;Content;HexCode;
1;morning;Good Morning{user} ! Start your day with a Smile :D;FFEAA6;
2;night;You did an amazing job today ,{user} ;BBCCF0;
3;day;You are a blessed soul ;FFF5E3;
4;stress;{user} , You are safe;E4F7E4;
5;stress;You are capable of amazing things today;E4F7E4;
6;stress;One small step is still progress;E4F7E4;
7;stress;Today is a fresh start, {user};E4F7E4;
8;stress;Focus on the good, even the little things;E4F7E4;
9;stress;Believe in yourself as much as I do;E4F7E4;
10;anxiety;Take a deep breath. In and out;CDE6EF;
11;anxiety;Rest is productive too;CDE6EF;
12;anxiety;Take a moment to breathe;CDE6EF;
13;anxiety;You are gonna be alright !;CDE6EF;
14;anxiety;You are Alive ;CDE6EF;
15;anxiety;Breath ;CDE6EF;
16;night;Leave your worries here, and sleep well;DADBF6;
17;night;You've done enough for today, {user};DADBF6;
18;night;Tomorrow is another chance to shine;DADBF6;
19;night;You survived a tough day, be proud;DADBF6;
20;day;You are enough, just as you are;FDDDF3;
21;day;Be kind to your mind;FDDDF3;
22;day;Your feelings are valid, {user};FDDDF3;
23;day;You don't have to be perfect to be amazing;FDDDF3;
24;day;Protect your energy;FDDDF3;
25;day;You are beautiful , just as you are ;FDDDF3;
26;day;Don't hide ;FDDDF3;
27;day;Shine , cause you are a Star;FDDDF3;
28;morning;I am so proud of you ;FFEAA6;
29;morning;New day, new possibilities. Make it yours!;FFEAA6;
30;morning;Start your day with a deep breath and a smile;FFEAA6;
31;morning;Rise and shine, {user}. You have greatness within you;FFEAA6;
32;morning;Sending you good vibes for a peaceful morning;FFEAA6;
33;morning;Today is a gift. Unwrapping it with kindness;FFEAA6;
34;morning;Hello, {user}! Don't forget to be awesome today;FFEAA6;
35;morning;A fresh morning for a fresh perspective.;FFEAA6;
36;morning;Your only goal today: Be kind to yourself;FFEAA6;
37;stress;{user} , You are doing good ;FFD9D9;
38;stress;Be in the moment ... ;FFD9D9;
39;stress;Every thing is going to be okay  ;FFD9D9;
40;stress;You are not alone ;FFD9D9;
41;self-care;Be as kind to yourself as you are to others.;FFD9D9;
42;self-care;Self-care is not selfish, it's essential, {user};FFD9D9;
43;self-care;You cannot pour from an empty cup. Refill your soul;FFD9D9;
44;self-care;Today's goal: Less stress, more self-love;FFD9D9;
45;self-care;It's okay to say 'no' to protect your energy;FFD9D9;
46;self-care;Self-care is how you take your power back;FFD9D9;
47;self-care;Treat yourself to something that makes you smile today ;FFD9D9;
48;self-care;You are worthy of the same love you give to the world;FFD9D9;
49;self-care;Sweet Dreams , {user};FFD9D9;
50;self-care;sleep well !;DADBF6;
51;self-care;Why are you still awake ?;DADBF6;
52;self-care;Dream toself-care and work tomorrow ;DADBF6;
53;anxiety;You are stronger than your anxiety;CDE6EF;
54;anxiety;Focus on what you can control;CDE6EF;
55;anxiety;One thought at a time, {user}.;CDE6EF;
56;anxiety;You don't have to figure it all out now;CDE6EF;
57;anxiety;It's just a bad moment, not a bad life;CDE6EF;
58;anxiety;Close your eyes for 10 seconds;CDE6EF;
59;anxiety;It's okay to not be okay;CDE6EF;
60;anxiety;{user}  for now , just breath .;CDE6EF;
61;stress;{user} , You are going to be alright;E4F7E4;
62;stress;You have the power to overcome any obstacle .;E4F7E4;
63;stress;You are greater than your stress .;E4F7E4;
64;stress;You will pass the storm . Don't give up  {user};E4F7E4;
65;stress;You are stronger than your stress ;E4F7E4;
66;stress;remember .One thing at a time ...;E4F7E4;
67;self-care;You are your own greatest project. Take your time;FFD9D9;
